,CustomPackageSource
azmgmtdatalakeanalytics,[isPrerelease=true]Microsoft.Azure.Management.DataLake.Analytics,3.5.0-preview
azmgmtdatalakestore,[isPrerelease=true]Microsoft.Azure.Management.DataLake.Store,2.4.2-preview
datashare,[isPrerelease=true]Microsoft.Azure.Management.DataShare
identityclientpr,[isPrerelease=true]Microsoft.Identity.Client
adalnetpr,[isPrerelease=true]Microsoft.IdentityModel.Clients.ActiveDirectory,4.0.0-preview
azuremgmtblueprint,[isPrerelease=true]Microsoft.Azure.Management.Blueprint,0.10.0-preview
azurehdinsightmgmt,[isPrerelease=true]Microsoft.Azure.Management.HDInsight,3.1.0-preview
azurehybridcomputemgmt,[isPrerelease=true]Microsoft.Azure.Management.HybridCompute
advisorpreview,[isPrerelease=true]Microsoft.Azure.Management.Advisor,0.9.5-preview
azuredeploymentmanager,[isPrerelease=true]Microsoft.Azure.Management.DeploymentManager,0.9.1-preview
azuredeploymentmanager,[isPrerelease=true]Microsoft.Azure.Management.DeviceUpdate,1.0.0-beta.1
managementgroups,[isPrerelease=true]Microsoft.Azure.Management.ManagementGroups,1.1.1-preview
azuremgmtmonitor,[isPrerelease=true]Microsoft.Azure.Management.Monitor
managementnetwork,[isPrerelease=true]Microsoft.Azure.Management.Network
azuremgmtnotificationhubs,[isPrerelease=true]Microsoft.Azure.Management.NotificationHubs
azops,[isPrerelease=true]Microsoft.Azure.Management.OperationalInsights
azuremgmtpowerbiembedded,[isPrerelease=true]Microsoft.Azure.Management.PowerBIEmbedded
azuremgmtrecoveryservices,[isPrerelease=true]Microsoft.Azure.Management.RecoveryServices
azuremgmtrecoveryservicesbackup,[isPrerelease=true]Microsoft.Azure.Management.RecoveryServices.Backup
azuremgmtresourcemanager,[isPrerelease=true]Microsoft.Azure.Management.ResourceManager
azuremgmtresourcemover,[isPrerelease=true]Microsoft.Azure.Management.Migrate.ResourceMover
azuremgmtsql,[isPrerelease=true]Microsoft.Azure.Management.Sql
postgresql,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.Management.PostgreSQL
azuremysql,[isPrerelease=true]Microsoft.Azure.Management.MySQL
azuremgmtsynapse,[isPrerelease=true]Microsoft.Azure.Management.Synapse
workloadmonitor,[isPrerelease=true]Microsoft.Azure.Management.WorkloadMonitor
anomalydetector,[customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.AnomalyDetector,1.1.0-alpha.20220912.1
cogservicespersonalizer,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Personalizer,1.0.0-alpha.20220912.1
microsoftazurecognitiveservicesvisionface,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Vision.Face,2.7.0-alpha.20220912.1
cognitiveservicesformrecognizer,[isPrerelease=true]Microsoft.Azure.CognitiveServices.FormRecognizer
customvisiontraining,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Vision.CustomVision.Training,2.1.0-alpha.20220912.1
resourcegraph,[isPrerelease=true]Microsoft.Azure.Management.ResourceGraph,0.10.0-preview
edgegateway,[isPrerelease=true]Microsoft.Azure.Management.EdgeGateway
azuremgmtstorage,[isPrerelease=true]Microsoft.Azure.Management.Storage
StorageSyncManagement,[isPrerelease=true]Microsoft.Azure.Management.StorageSync
azurestorsimple,[isPrerelease=true]Microsoft.WindowsAzure.Management.StorSimple
azuremgmtstorsimplefluent,[isPrerelease=true]Microsoft.Azure.Management.StorSimple.Fluent
azopscl,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.OperationalInsights,1.2.0-alpha.20220912.1
featuremanagement,[isPrerelease=true]Microsoft.FeatureManagement
featuremanagementasp,[isPrerelease=true]Microsoft.FeatureManagement.AspNetCore
privatedns,[isPrerelease=true]Microsoft.Azure.Management.PrivateDns
recoverybackup,[isPrerelease=true]Microsoft.Azure.Management.RecoveryServices.Backup
livevideoanalytics,[isPrerelease=true]Microsoft.Azure.Media.LiveVideoAnalytics.Edge
azureapplicationmodelconfig,[isPrerelease=true]Azure.ApplicationModel.Configuration
azcosmos,[isPrerelease=true]Azure.Cosmos,4.0.0-preview3
azuresynapse,[isPrerelease=true]Microsoft.Azure.Synapse
azuremgmteventgrid,[isPrerelease=true]Microsoft.Azure.Management.EventGrid,7.1.0-preview
azurecoreexperimental,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Core.Experimental,0.1.0-alpha.20220912.1
azureresourcemanagerappconfiguration,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.AppConfiguration,1.1.0-alpha.20220912.1
azureresourcemanagercompute,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Compute,1.1.0-alpha.20220912.1
azureresourcemanagereventhubs,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.EventHubs,1.1.0-alpha.20220912.1
azureresourcemanagerkeyvault,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.KeyVault,1.1.0-alpha.20220912.1
azureresourcemanagernetwork,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Network,1.1.0-alpha.20220912.1
azureresourcemanagerresources,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Resources,1.4.0-alpha.20220912.1
azureresourcemanagerstorage,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Storage,1.0.0-beta.12
microsoftazurecorenewtonsoftjson,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.Core.NewtonsoftJson,1.1.0-alpha.20220912.1
azurestorageblobschangefeed,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Blobs.ChangeFeed,12.0.0-preview.28
microsoftazurehdinsightjob,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.HDInsight.Job,3.0.0-alpha.20220912.1
azureanalyticssynapseartifacts,[tfm=netstandard2.0;isPrerelease=true]Azure.Analytics.Synapse.Artifacts,1.0.0-preview.15
azureaianomalydetector,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.AnomalyDetector,3.0.0-alpha.20220912.1
azuredataschemaregistry,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Data.SchemaRegistry,1.3.0-alpha.20220912.1
microsoftazuredataschemaregistryapacheavro,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.Data.SchemaRegistry.ApacheAvro,1.1.0-alpha.20220912.1
azureanalyticssynapseaccesscontrol,[tfm=netstandard2.0;isPrerelease=true]Azure.Analytics.Synapse.AccessControl,1.0.0-preview.5
azureanalyticssynapsespark,[tfm=netstandard2.0;isPrerelease=true]Azure.Analytics.Synapse.Spark,1.0.0-preview.8
azurecommunicationadministration,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.Administration
azureresourcemanagercosmosdb,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.CosmosDB,1.1.0-alpha.20220912.1
azureresourcemanagerdns,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Dns,1.0.0-alpha.20220912.1
azureresourcemanagerinsights,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Insights,1.0.0-preview.1
microsoftazurecorespatial,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.Core.Spatial,1.2.0-alpha.20220912.1
microsoftazurecorespatialnewtonsoftjson,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.Core.Spatial.NewtonsoftJson,1.1.0-alpha.20220912.1
microsoftazurecognitiveservicesknowledgeqnamaker,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker,3.0.0-alpha.20220912.1
azureanalyticssynapsemonitoring,[tfm=netstandard2.0;isPrerelease=true]Azure.Analytics.Synapse.Monitoring,1.0.0-beta.3
microsoftopentelemetryexporterazuremonitor,[tfm=netstandard2.0;isPrerelease=true]Microsoft.OpenTelemetry.Exporter.AzureMonitor
azureanalyticssynapsemanagedprivateendpoints,[tfm=netstandard2.0;isPrerelease=true]Azure.Analytics.Synapse.ManagedPrivateEndpoints,1.0.0-beta.5
azuremediaanalyticsedge,[tfm=netstandard2.0;isPrerelease=true]Azure.Media.Analytics.Edge,1.0.0-beta.1
microsoftazuremgmtcompute,[isPrerelease=true]Microsoft.Azure.Management.Compute
microsoftazurecontainerregistry,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.ContainerRegistry
azurequantumjobs,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Quantum.Jobs,1.0.0-alpha.20220912.1
microsoftazurecognitiveserviceslanguageluisauthoring,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring,3.2.0-alpha.20220912.1
azuremixedrealityobjectanchorsconversion,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.MixedReality.ObjectAnchors.Conversion,0.3.0-alpha.20220912.1
azuremonitoropentelemetryexporter,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Monitor.OpenTelemetry.Exporter,1.0.0-alpha.20220912.1
azureiotdeviceupdate,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.IoT.DeviceUpdate,1.1.0-alpha.20220912.1
azureiotmodelsrepository,[tfm=netstandard2.0;isPrerelease=true]Azure.IoT.ModelsRepository,1.0.0-preview.5
azuremgtpurview,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.Management.Purview
azurepurviewscanning,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Analytics.Purview.Scanning,1.0.0-alpha.20220912.1
microsoftazurewebjobsextensionseventgrid,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebJobs.Extensions.EventGrid,3.3.0-alpha.20220912.1
azuretemplate,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Template,1.0.3-alpha.20220912.1
azureaitranslationdocument,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Translation.Document,1.1.0-alpha.20220912.1
azurecontainerscontainerregistry,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Containers.ContainerRegistry,1.1.0-alpha.20220912.1
azureanalyticspurviewcatalog,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Analytics.Purview.Catalog,1.0.0-alpha.20220912.1
azuremgtvideoanalyzer,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.Management.VideoAnalyzer
azurecommunicationnetworktraversal,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.NetworkTraversal,1.1.0-alpha.20220912.1
azuremediavideoanalyzeredge,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Media.VideoAnalyzer.Edge,1.0.0-alpha.20220912.1
azureverticalsagrifoodfarming,[tfm=netstandard2.0;isPrerelease=true]Azure.Verticals.AgriFood.Farming,1.0.0-beta.1
microsoftazurewebjobsextensionswebpubsub,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebJobs.Extensions.WebPubSub,1.3.0-alpha.20220912.1
azuresecurityconfidentialledger,[tfm=netstandard2.0;isPrerelease=true]Azure.Security.ConfidentialLedger,1.1.0-beta.1
azurecommunicationcallingserver,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.CallingServer,1.0.0-alpha.20220912.1
azuresearchdocuments,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Search.Documents,11.5.0-alpha.20220912.1
azureailanguagequestionanswering,[tfm=netstandard2.0;isPrerelease=true]Azure.AI.Language.QuestionAnswering,1.1.0-beta.2
azuredigitaltwinscore,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.DigitalTwins.Core,1.5.0-alpha.20220912.1
azureaitextanalytics,[tfm=netstandard2.0;isPrerelease=true]Azure.AI.TextAnalytics,5.2.0-beta.4
azuresecuritykeyvaultadministration,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.KeyVault.Administration,4.2.0-alpha.20220912.1
azuresecuritykeyvaultcertificates,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.KeyVault.Certificates,4.4.0-alpha.20220912.1
azuresecuritykeyvaultkeys,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.KeyVault.Keys,4.4.0-alpha.20220912.1
azuresecuritykeyvaultsecrets,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.KeyVault.Secrets,4.4.0-alpha.20220912.1
azureanalyticspurviewaccount,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Analytics.Purview.Account,1.0.0-alpha.20220912.1
azureresourcemanager,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager,1.0.0-beta.9
azuremessagingservicebus,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Messaging.ServiceBus,7.11.0-alpha.20220912.1
azureaiformrecognizer,[tfm=netstandard2.0;isPrerelease=true]Azure.AI.FormRecognizer,4.0.0-beta.5
azureaipersonalizer,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Personalizer,2.0.0-alpha.20220912.1
azureanalyticspurviewadministration,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Analytics.Purview.Administration,1.0.0-alpha.20220912.1
microsoftazurewebpubsubcommon,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebPubSub.Common,1.2.0-alpha.20220912.1
azurecommunicationidentity,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Identity,1.2.0-alpha.20220912.1
azureailanguageconversations,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Language.Conversations,1.1.0-alpha.20220912.1
azurestorageblobs,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Blobs,12.14.0-beta.1
azurestorageblobsbatch,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Blobs.Batch,12.11.0-beta.1
azurestoragecommon,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Common,12.13.0-beta.1
azurestoragefilesdatalake,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Files.DataLake,12.12.0-beta.1
azurestoragefilesshares,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Files.Shares,12.12.0-beta.1
azurestoragequeues,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.Queues,12.12.0-beta.1
azuremessagingeventhubs,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Messaging.EventHubs,5.8.0-alpha.20220912.1
azuremessagingeventhubsprocessor,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Messaging.EventHubs.Processor,5.8.0-alpha.20220912.1
azuremessagingeventhubsprocessor,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.Management.Chaos,0.9.15-preview
microsoftazurewebpubsubaspnetcore,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebPubSub.AspNetCore,1.0.0-alpha.20220912.1
azureresourcemanagerdeviceupdate,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.DeviceUpdate,1.0.0-beta.7
azureresourcemanageredgeorder,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.EdgeOrder,1.0.0-alpha.20220912.1
azureresourcemanagerservicebus,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ServiceBus,1.1.0-alpha.20220912.1
azureresourcemanagercdn,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Cdn,1.1.0-alpha.20220912.1
azureresourcemanagerwebpubsub,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.WebPubSub,1.0.0-beta.5
azureresourcemanagersql,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Sql,1.1.0-alpha.20220912.1
microsoftazurewebjobsextensionssignalrservice,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.WebJobs.Extensions.SignalRService,1.7.0-beta.2
azureresourcemanagercommunication,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Communication,1.1.0-beta.5
azureresourcemanagerconnectedvmwarevsphere,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ConnectedVMwarevSphere,1.0.0-alpha.20220912.1
microsoftazurewebjobsextensionstables,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebJobs.Extensions.Tables,1.1.0-alpha.20220912.1
azurecommunicationphonenumbers,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.PhoneNumbers,1.1.0-alpha.20220912.1
azureresourcemanagerstoragepool,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.StoragePool,1.0.0-beta.4
azureidentity,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Identity,1.7.0-alpha.20220912.1
azureidentitybrokeredauthentication,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Identity.BrokeredAuthentication,1.0.0-alpha.20220912.1
azureresourcemanagerhci,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Hci,1.0.0-beta.5
azureresourcemanagerdnsresolver,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DnsResolver,1.0.0-alpha.20220912.1
azureresourcemanagermonitor,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Monitor,1.0.0-beta.3
azureresourcemanagerextendedlocation,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.ExtendedLocation,1.0.0-beta.2
azureresourcemanagerappservice,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.AppService,1.0.0-beta.4
azuremessagingeventgrid,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Messaging.EventGrid,4.12.0-alpha.20220912.1
azureresourcemanagergrafana,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Grafana,1.0.0-beta.2
azuredatatables,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Data.Tables,12.7.0-alpha.20220912.1
azureresourcemanagerservicelinker,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ServiceLinker,1.1.0-alpha.20220912.1
azurecommunicationemail,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Email,1.0.0-alpha.20220912.1
azureresourcemanagermachinelearning,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.MachineLearning,1.0.0-beta.2
azureresourcemanagerapplicationscontainers,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Applications.Containers,1.0.0-beta.1
azureresourcemanagerdynatrace,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Dynatrace,1.0.0-alpha.20220912.1
